Shape,OS Error Mean,OS Error St Dev,OS Error Median,OS Error Min,OS Error Max,IS Error Mean,IS Error St Dev,IS Error Median,IS Error Min,IS Error Max,Time Mean,Time St Dev,Time Median,Time Min,Time Max
"(6, 6, 6)",0.06887537938873438,0.1616231353293919,0.03591216909501338,0.015384615384615332,1.0,0.06783222426013054,0.16101137144962738,0.035237769414984584,0.012345679012345734,0.9969183359013868,117034.28894736842,89929.65413734176,90095.5,13477,461641
"(11, 11, 11, 11, 11)",0.06841397552338653,0.16217058152032074,0.035997964408629235,0.015384615384615332,0.9964093357271095,0.06755411008238943,0.16259252812518427,0.03541185527328716,0.012345679012345734,0.9975369458128078,289288.81,203541.52191850368,240797.5,19171,932581
"(6, 6, 6, 6)",0.06830862068970318,0.15583286032545957,0.03589743589743588,0.015384615384615332,0.9815384615384616,0.06738658431848876,0.15546201205584256,0.03531704795734869,0.015432098765432056,0.9733059548254621,145555.4152631579,113663.7957466828,111080.5,14179,547894
"(5, 5, 5)",0.06677016283563385,0.15836720649816025,0.03591216909501338,0.015384615384615332,0.9958960328317372,0.06606597121592077,0.15869618465331764,0.035237769414984584,0.012345679012345734,0.9969135802469136,102000.81842105264,77331.29668560854,77917.0,11892,378751
"(5, 5)",0.06286700515586552,0.13446899575672272,0.036139453451133396,0.015384615384615332,0.9703059931196814,0.06237083152138156,0.13515724115807118,0.03551977267345485,0.012345679012345734,0.97459584295612,73259.90157894736,58180.094299109616,51883.5,12633,363667
10,0.061264586052177654,0.13086803722561377,0.03808029194396001,0.015384615384615332,1.0,0.060693052000033776,0.13085600766746128,0.037781995903755916,0.015432098765432056,0.9969135802469136,58327.81947368421,39889.51448200188,45928.0,13383,321137
8,0.060767759259188835,0.13235445991433967,0.03773294548006478,0.015384615384615332,0.9846153846153848,0.060098772534933655,0.13244688832099805,0.03716421469418196,0.012345679012345734,0.9814814814814816,58573.56684210526,40860.81670434951,47250.0,12624,353549
"(7, 7, 7, 7)",0.06030829820319584,0.1357301821717112,0.03622159090909094,0.015384615384615332,1.0,0.059534047284265666,0.13570267359097504,0.03541185527328716,0.012345679012345734,0.9971780400205232,157153.18842105262,121655.17931850522,116923.0,15207,532487
"(7, 7, 7, 7, 7)",0.05870996420227885,0.13807076206127883,0.035639073384092,0.015384615384615332,1.0,0.05793320010152228,0.13793942680768312,0.03515878159429686,0.012345679012345734,0.9954633830200909,211749.80789473685,151966.94493592676,171071.0,15267,683690
"(6, 6, 6, 6, 6)",0.05718956338057639,0.1360194009818569,0.03562005277044855,0.015384615384615332,0.9969230769230768,0.056524415029137284,0.13614726701399021,0.03495110467222018,0.015432098765432056,0.9969199178644764,169421.95105263157,131038.87369494537,128806.0,15033,555706
"(5, 5, 5, 5)",0.04953203109709864,0.09665882490852218,0.035659593584653815,0.015384615384615332,0.9984615384615384,0.04881822722077364,0.09669417375500872,0.03515878159429686,0.012345679012345734,0.995382247306311,135517.09894736842,100798.13667772121,108343.0,13345,496917
"(5, 5, 5, 5, 5)",0.048657010298227395,0.09525917495882559,0.035659593584653815,0.015384615384615332,0.9723076923076924,0.04779094181555559,0.09583599215600651,0.03515878159429686,0.012345679012345734,0.9748589020010262,155464.5857894737,119998.8576783462,121587.0,13151,635022
"(9, 9, 9, 9, 9)",0.047976658226631164,0.09813673559384294,0.03569230769230769,0.015384615384615332,0.9969230769230768,0.04715771256241324,0.09816903183539316,0.035195776506819154,0.012345679012345734,0.9955743698287474,262295.37263157894,182337.29902301956,223194.0,19028,749939
"(10, 10, 10, 10, 10)",0.040168220906480236,0.016216596797349124,0.03591094090865582,0.015384615384615332,0.15076923076923074,0.039085381308038715,0.01511774899886925,0.03540572265545394,0.012345679012345734,0.13559322033898302,285565.96894736844,186061.02500990158,245610.0,19269,782370
"(8, 8, 8, 8, 8)",0.03783175270392185,0.022864383267455123,0.035659593584653815,0.015384615384615332,0.9703547707759598,0.037046176770507644,0.02247384276309058,0.03515878159429686,0.015432098765432056,0.9537037037037036,232353.85789473684,166595.72804550186,195353.5,15368,716291
